Year,Country,Location Name,Mag,Longitude,Latitude
1925,JAPAN,HONSHU,6.8,138.2529,36.2048
1926,JAPAN,RYUKYU ISLANDS,7.5,128,26
1927,JAPAN,HONSHU,7.3,138.2529,36.2048
1927,JAPAN,SANRIKU,6.9,141.4981,39.3333
1927,JAPAN,KASHIMA,6.9,135.8498,34.964
1929,JAPAN,HIUGANADA,6.8,131.9013,32.0617
1930,JAPAN,HONSHU,7.1,138.2529,36.2048
1931,JAPAN,HONSHU,7.7,138.2529,36.2048
1931,JAPAN,HONSHU,7,138.2529,36.2048
1931,JAPAN,KYUSHU,7.5,130.4181,32.6475
1933,JAPAN,SANRIKU,8.4,141.4981,39.3333
1935,JAPAN,HONSHU,6.3,138.2529,36.2048
1938,JAPAN,HOKKAIDO ISLAND,6.1,141.3469,43.0642
1938,JAPAN,RYUKYU ISLANDS,7.6,128,26
1938,JAPAN,HONSHU,7.7,138.2529,36.2048
1938,JAPAN,HONSHU,7.6,138.2529,36.2048
1938,JAPAN,HONSHU,7.5,138.2529,36.2048
1938,JAPAN,HONSHU,7.1,138.2529,36.2048
1938,JAPAN,SANRIKU,6,141.4981,39.3333
1939,JAPAN,SEIKAIDO,6.6,130.4181,32.6475
1939,JAPAN,HONSHU,7,138.2529,36.2048
1940,JAPAN,HOKKAIDO ISLAND,7.5,141.3469,43.0642
1941,JAPAN,SHIKOKU,7.4,133.5311,33.7415
1943,JAPAN,HONSHU,7.4,138.2529,36.2048
1944,JAPAN,KII PENINSULA,8.1,135.6356,33.835
1945,JAPAN,HONSHU,7.1,138.2529,36.2048
1946,JAPAN,HONSHU,8.3,138.2529,36.2048
1947,JAPAN,HOKKAIDO ISLAND,7,141.3469,43.0642
1948,JAPAN,FUKUI,7.3,136.2215,36.0643
1952,JAPAN,HOKKAIDO,8.1,141.3469,43.0642
1952,JAPAN,HOKKAIDO,7.1,141.3469,43.0642
1953,JAPAN,KASHIMA,7.4,135.8498,34.964
1954,JAPAN,MIYAGI PREFECTURE,6.5,140.8721,38.2682
1956,JAPAN,IZU PENINSULA,6.5,138.9433,34.87
1958,JAPAN,RYUKYU ISLANDS,7.5,128,26
1960,JAPAN,SANRIKU,7.5,141.4981,39.3333
1960,JAPAN,SANRIKU,6.7,141.4981,39.3333
1960,JAPAN,SANRIKU,6.7,141.4981,39.3333
1961,JAPAN,MIYAGI PREFECTURE,7.3,140.8721,38.2682
1961,JAPAN,HONSHU,7.3,138.2529,36.2048
1962,JAPAN,SANRIKU,7.2,141.4981,39.3333
1962,JAPAN,SENDAI,6.8,140.8824,38.2682
1962,JAPAN,HONSHU ISLAND,5.7,141.3469,43.0642
1964,JAPAN,HONSHU ISLAND,6.9,141.3469,43.0642
1964,JAPAN,HONSHU ISLAND,6.6,141.3469,43.0642
1964,JAPAN,HONSHU,7.5,138.2529,36.2048
1965,JAPAN,SHIZOUKA PREFECTURES,6,138.3831,34.976
